Name,V,M,n,np,B,G,E,v,H,B',G',_,vL,vS,va,_e,_el,_es,_e,A,y-theory,y-exp
2756989_PbScLi,317.29,1036.66,12,3,34.1794,1.39429,4.126755364,0.479876986,0.057526151,-0.33499,-0.02025,5.419776985,2.578649789,0.507207712,0.579873357,40.18009473,1.426850764,2.137417312,1.929853935,5.84E-06,0.125784369,54.83
2735816_GeBLi,147.69,361.724,12,3,90.185,52.7047,132.3349626,0.255437965,10.84846907,-1.9893,-1.24863,4.062821049,6.284442402,3.601727285,4.00115778,357.7381392,1.515020008,1.582799365,1.560533379,3.51E-06,22.05106431,53.13
2734800_BAuTi,185.41,1022.63,12,3,153.88,20.0136,57.54599345,0.437672219,1.06133528,-3.02923,0.05223,9.149278233,4.44245593,1.479003461,1.682750137,139.4671243,1.352836531,-0.408601259,0.849328491,8.14E-07,3.124213486,51.47
2725726_AlPdTa,219.21,1257.4,12,3,157.219,67.9593,178.2015085,0.311089936,8.84536839,-2.43029,-0.53234,9.515126219,5.103532542,2.672496663,2.989349465,234.3076658,1.222052047,0.691893173,0.903851671,9.45E-07,19.74651596,45.98
16730_MoN,20.51,109.941,2,2,344.176,31.6847,92.22406363,0.455340648,0.926803704,-63.1398,-35.9773,8.90107726,6.588852516,1.886702889,2.151349778,233.990956,2.781994326,11.47766677,9.508122163,2.68E-04,19.05279378,45.92
2787200_NiAlTa,202.03,1066.48,12,3,136.499,7.95585,23.41268031,0.471412879,0.241898667,-2.14199,-0.66189,8.756656447,4.098710257,0.95317828,1.088839113,87.69773054,1.910197745,8.237315101,6.81556003,1.21E-04,1.917180676,45.92
1100414_RhSiV,46.09,181.932,3,3,183.194,71.6522,190.1638354,0.3269923,8.116179859,-13.9595,-2.31595,6.554671542,6.521036007,3.306277471,3.705927665,307.7310378,1.242789529,0.578196265,0.858903886,8.36E-07,23.94500911,45.69
22205_InN,66.3,257.642,4,4,126.948,47.0566,125.6452347,0.335043699,5.959870068,-7.21716,0.05779,6.45285166,5.421837913,2.700439374,3.030076638,222.8909163,1.081129051,-0.207378033,0.646748617,4.23E-07,9.73866313,45
2534_GaAs,47.82,144.645,2,2,55.5955,39.3308,95.47737828,0.213773662,11.43114268,-13.3637,-6.52925,5.022759713,4.637823171,2.798305905,3.09390555,253.774001,4.717592185,3.802598324,4.13018095,3.62E-05,30.38459143,45
1100394_BMgSc,48.82,80.072,3,3,87.0604,66.8542,159.6875842,0.194297323,17.16092477,-5.12211,-2.44691,2.723525522,8.043339604,4.954486204,5.46633763,445.2874551,0.994912469,0.726756231,0.825873287,7.61E-07,32.04143931,43.43
2786294_NiSiTi,172.75,538.62,12,3,151.146,93.06,231.6400441,0.244573631,16.08107417,-1.39753,-1.23404,5.172087686,7.294773128,4.241784341,4.706208978,399.3574454,0.788300986,0.978725607,0.919642335,9.85E-07,38.95410971,42.76
961710_PtSiV,48.63,274.106,3,3,177.044,43.0881,119.5646168,0.387443595,3.459968261,-13.0084,-0.05882,9.35971922,5.005358609,2.145592595,2.424669286,197.7702764,1.19031946,-0.133474015,0.695818713,5.05E-07,8.961492228,42.47
1009885_ZrN,31.19,105.225,2,2,193.73,71.4427,190.8659318,0.335797302,7.563201845,-20.2489,0.11984,5.602116136,7.182291862,3.571107105,4.007425682,379.0271193,0.917429831,-0.19282616,0.552582227,2.90E-07,28.56695703,41.65
1156_GaSb,60.57,191.473,2,2,45.1659,19.9313,52.12628225,0.30764883,4.421672139,-2.79157,0.58247,5.249265223,3.69687149,1.94858141,2.178643733,165.1620604,0.683929049,-1.051711995,0.945155222,1.05E-06,6.65112711,40
2783746_AsFeV,165.74,726.84,12,3,196.764,86.0118,225.2186552,0.309231147,10.28638908,-5.11645,-1.32207,7.274664097,6.543124519,3.438527847,3.845283062,330.8383147,1.663761082,1.10711136,1.319026417,2.34E-06,34.05082848,39.8
1100441_BCrCu,31.39,126.353,3,3,188.969,80.4627,211.3855554,0.313562405,9.593378082,-27.1349,-7.37551,6.684097716,6.657477236,3.469572011,3.882163587,366.3981952,1.791888616,1.27199534,1.465925089,3.02E-06,30.58425309,38.57
